input,target
"I requested merchant information from bank and they have no information on merchant. I filed a claim twice and reported debit card lost. Bank is denying my claim based on someone having used my pin possibly being written on my debit card. Bank can not verify transaction was authorized and can not verify merchant exists. 
They did try to find the merchant either",Misinformation or clarification Issues
"I've tried several attempts to resolve this matter with the company listed below. After several attempts I have been forced to file a police report and also seek legal advice against the account listed. 


In addition please find attached a copy of the police report and DC number that was provided to me when report was filed. In addition I would like these accounts to be removed from my credit report. As I have asked before. These accounts are part of fraud and should be removed from my credit report immediately. Per Federal Guidelines in 603B letter when ever there is fraud on your credit report is shall be removed with in 4 business day. 

Please send a letter stating that these issue has been resolved to : XXXX XXXX",Misinformation or clarification Issues
I tried making a deposit in the atm near me and the atm was down. I called us bank the next day and as a courtesy they said they would waive the fees. they never waived anything or returned the 2 XXXX fees.,Misinformation or clarification Issues
"HSBC has block my account without any valid reason, to protect me they said. They unwanted protection cost me a bunch of late fees on different account, a notice eviction, and I have to borrow money in order to pay basic stuff like foods, water, electricity. I would like them to refund {$1000.00} of late fees on other account, eviction fees and other fees i have incurred. thanks",Misinformation or clarification Issues
"I have a checking account with no overdraft protection selected when account was opened and yet Bank of the West charged the account {$70.00}, since "" as a courtesy '' they covered 2 items on XX/XX/XXXX, which seems immoral and illegal. 
The opening and closing balances were positive on that day.",Misinformation or clarification Issues
"Today ( XX/XX/2018 ) I called chase bank in regards to mine and my husbands joint account. Our debit cards were declining and my husband was not able to access his bank information through his phone. They informed me that our account had been restricted and that they decided to end their relationship with my husband. No reason given, in fact we were told they did not need/have to disclose that information. Were supposed to call them back tomorrow when the banks are open so they can approve or not approve the branch to release our funds to us. My husband is in the military and this is not our idea of customer/military care!",Misinformation or clarification Issues
"I set up a joint account with my sister who has XXXX XXXX with Capital One. No money was put into the account to fund it. I was not given access and the account was locked. I asked to close the account since no money was placed and capital One will not let me. I asked them to stop sending reminder emails and they stated they can not stop that either even though it is affecting my sister 's XXXX XXXX. I gave them all my information and they said they can't do anything until they can verify my sister, who does not live in the same area as me and does not have a cell phone. Their process is not fit for someone with her condition or resources. So they will keep sending her a message to correct her information and fund the account. They need to stop this immediately.",Misinformation or clarification Issues
XX/XX/2020 an unauthorized charge was made on my Bank of America account in XXXX on my ATM debit card. The bank has not requested a signed receipt from the merchant and is denying my dispute claim. I have requested proof of an authorized or signed purchase i.e. a signed receipt.,Misinformation or clarification Issues
I have a had multiple accounts of money being taken out of my account from a place called hidden listings. I have reported it to chase bank and nothing has been done and now they have taken over XXXX dollars out of my account over the last few months. I have never signed up for this service nor do I know what it is.,Misinformation or clarification Issues
"My identity was stolen and used by others to apply for a credit card and a bank card. Now I am stolen in TD Bank. I suspect that I am being used by others to conduct money laundering activities. However, td Bank thinks that I am not my own. I have to complain to the Federal CounciXXXX that these banks are not enough. Protect the personal information of consumers and cause serious damage to the victims!",Misinformation or clarification Issues
"Today, on XX/XX/2020 I called USAA bank to remove consent from overdraft protection per Regulation E so that instead of incurring overdraft charges, they would The representative on the phone told me that it is USAAs policy that they will not remove overdraft protection from a checking account.

This is a violation of regulation E.",Misinformation or clarification Issues
"I cancelled a cashiers certified check for {$2000.00} sinceXX/XX/XXXX and i am still waiting for the funds to return to my account. That is more than a 104 days. I keep calling and going to the branch and noone can tell me what is going on. The branch says to call customer service and customer service says to go to the branch. Because of this hold up. My automatic bill payment checks have bounced. The bank has charged me fees and blocked my account. 
My billers has also charged me fees. By the time they give me my money back it will just cover fees i incurred because of their lack of organization and fairness. 



I will never buy a certified check again.",Misinformation or clarification Issues
I have an account with PNC Bank. I have been trying to link my debit card to my XXXX account so XXXX XXXX can be deposited into XXXX XXXX but PNc has blocked this ability. I want to be able to link my card to XXXX ( through XXXX ). Ive tried to discuss this with PNC and they wont permit it.,Misinformation or clarification Issues
"Capital One Bank denied me access to my checking and savings 360 accounts yesterday without reason or explanation. An ATM transaction attempted last night at their branch drive-up was also rejected. The only contact I received was an email yesterday saying that they decided to close all my accounts on XX/XX/2021, and that I should "" restrict account activity. '' The following was flagged to both accounts on the app : "" Funds are currently not available for withdrawal. '' I contacted the XXXX number listed and advised the management team of the illegality of denying account holders access to their own money.",Misinformation or clarification Issues
Navy federal credit union garnished my entire checking and savings account {$2000.00} because they said that I owed a credit card that was in collections a year ago. I talked to them before and was told that since it was in collections that my checking or savings account would not be touched. They also let me open a checking account and I deposited {$500.00} in it and then days later after they took my money they call to tell me that they were closing my account because I didnt qualify for a checking account with them. This was after they opened my account and let me deposit money into the account.,Misinformation or clarification Issues
"Chase bank closed my account without any notice. They refuse to tell me why they closed my account. They would not give me any money on Friday, I asked for {$100.00} and I have about XXXX  in my account, they would not give me any money.",Misinformation or clarification Issues
I sold a phone on XX/XX/XXXX and used cash app to receive the money. On XX/XX/XXXX this person requested a fraudulent refund and they took the money out of my bank account. Ive contacted cash app multiple times and havent received a response on this matter. Ive filed a police report and fraud charges through my bank account.,Misinformation or clarification Issues
"On XX/XX/2021 I deposited my paycheck for {$3000.00} issuing bank XXXX XXXX XXXX  dated XX/XX/2021. 

ITIN:XXXX Business name XXXX XXXX Paycheck made out to XXXX XXXX as a ID : XXXX Today the account is placed on hold my close after the day of deposit. 

I asked how? Then was asked questions not relavent to the verification of my deposit to finish the process and get determination of payment by XXXX XXXX XXXX.",Misinformation or clarification Issues
"I signed up for a PNC Virtual Wallet with XXXX XXXX through a landing page on their website. There was a signup deal on-going, wherein if you deposited {$5000.00} via Direct Deposit, there would be a {$500.00} deposit made within 30-60 days. I opened the account on XX/XX/2020, and made a {$5000.00} direct deposit on XX/XX/2020. I called to check that my account was in good standing, confirmed it was and I would be receiving the bonus deposit. I then called again on XX/XX/2020 to check the status, and the rep now claims that my account is not in good standing, as there is a requirement for 10 debit transactions during the account bonus posting time. I have attached screenshots of the landing page I signed up for my account through, no where does it state debit transactions are required.",Misinformation or clarification Issues
"My Chase College checking account was blocked and closed by the bank on XX/XX/2018. I was sent a final statement for my bank account and it said that there was a XXXX debit for a check charge, however, I never received the remittance check for this account. 

I contacted the bank regarding my funds and I was told by a customer representative that the funds would not be sent back to me.",Misinformation or clarification Issues
I received a pending transaction notice to my checking account on XX/XX/2020 at XXXX XXXX  from a company listed as TU *TRANSUNION . The phone number listed was XXXX. XXXX the number took me to some sort of credit site. Im XXXX. I dont have credit yet. This is an unauthorized pending xharge.,Misinformation or clarification Issues
"I opened an account with XXXX dollars with first national bank of pennsylvania. After 1 day my online access was cut off due to me living outside of their traditional service territory. I called their customer service 3 times and the first 2 times i was told an online rep would call and reach out to me which never happened either time. Afterward, i tried to close the account out and they told me I have to do it in person. I live XXXX miles away and can not go into a branch and they wont do anything for me.",Misinformation or clarification Issues
"Dear Sir/Madam, I found a fraudulent charge on my savings account when I was looking back the transaction history on XX/XX/XXXX. I found one of my personal check was used by someone whom I don't know for XXXX $ on XX/XX/XXXX in XXXX XXXX XXXX, XXXX. 

The check was cashed to "" XXXX XXXX XXXX XXXX '' XXXX XXXX XXXX  The check payee name is : XXXX XXXX I XXXXontacted my bank ( Bank of America ) as soon as I realized this fraud and raised complaint on XX/XX/XXXX. They took 90 days to investigate and told me today that they can't process this request as it is beyond 60 days from the date of incident, as per bank policy. 
So I am raising this complaint to you. Kindly do the needful. 

Please let me know if you need any further details.",Misinformation or clarification Issues
"In XX/XX/2018 I tried to open a "" Savings Goal '' ( high yield savings ) account at Simple Bank ( www.simple.com ) and got denied after failing to confirm I am a US Citizen. 

As a lawful permanent US resident ( green card holder ) I enjoy almost exactly the same rights are US citizens, besides being able to vote and to apply for a government job. Denying a lawful permanent US resident a savings account on the basis of his/her origin is unlawful.

I have contacted Simple several times, through their support system and social channels, but they keep refusing to serve people with a green card.",Misinformation or clarification Issues
SOMEONE STOLE MY PHONE AND MY WALLET AND ACCESSED MY ONLINE BANKING INFORMATION AND FRAUDULENTLY TRANSFERRED AND WITHDREW MONEY USING MY ACCOUNT. MY ACCOUNT IS NOW IN THE NEGATIVE. I AM NOT LIABLE FOR THIS DEBT. I REQUEST THAT NAVY FEDERAL REMOVE THE NEGATIVE BALANCES FROM MY ACCOUNT AND PROVIDE ME WITH A NEW BANK ACCOUNT NUMBER SO I CAN CONTINUE USING MY BANK ACCOUNT.,Misinformation or clarification Issues
I was a victim of fraud. my account and card was hacked. I reported the claims but my fraudulent transactions disputes claim was denied. They said they investigated XX/XX/XXXX XXXX XXXX*XXXX  XXXX XXXX {$600.00} XX/XX/XXXX XXXX XXXX XXXX XXXX {$500.00} XX/XX/XXXX XXXX XXXX  XXXX XXXX Total of {$1200.00},Misinformation or clarification Issues
"1. Changed CD interest payment dates in the past from 15th to 14th, in order to short change us in the upcoming payment. 

2. Made my husband look like, he owns XXXX XXXX XXXX. 

3. There are two CD maturity dates, CPO 360 insists the wrong date is the right one. 

4. Falsified records and changed the rule whenever they wanted. 

5. My website does n't look like bank website. 

There are a lot more, but I will let my report speaks for itself.",Misinformation or clarification Issues
"Today is XX/XX/2018. Prior to XXXX Hawaii Standard Time , I made a in person deposit of several checks at Bank of Hawaii . 
After I left the bank, I noticed the deposit slip is dated for XX/XX/2018 Is this legal? 
I also get direct deposits from from XXXX  XXXX XXXX and XXXX XXXX. Both of them with hold funds availability for about 4 days before they appear in my account. 

Essentially, it floats somewhere from the time the person initiates the online transfer/payment, to the time it is credited to my account it is about 4 days later.",Misinformation or clarification Issues
"On XX/XX/2018 my bank Account at Bank of America was closed due to bank policies regarding international clients I was told. At the time I had XXXX $ Dollars balance. I did not get my funds via check through the mail as they said I would. I went to the branch near my home and did not receive any info or help, they said I should check the mail. Its been more than 2 months and I have not recieved my funds yet.",Misinformation or clarification Issues
"I had a XXXX on XX/XX/17. Since then I have asked for XXXX accommodation and for last five months Wells Fargo bank branch in XXXX XXXX zip XXXX has denied that. 
After at least three complaints to their customer service department I received a letter stating they are going to close my accounts in next three weeks.",Misinformation or clarification Issues
"I have an XXXX XXXX XXXX checking account. I paid with check # XXXX for {$100.00}, my monthly payment to American Express. 

American Express presented check # XXXX to my XXXX XXXX XXXX account and was paid by them on XX/XX/20. Image is available. 

Check # XXXX was also presented to my XXXX  XXXX XXXX account and was paid by them on XX/XX/20. For the same amount, {$100.00}. No image available for this transaction. I am missing {$100.00}. 

Telephoned and spoke with American Express agent. I was told that I would have to contact my XXXX XXXX XXXX agents to get to the bottom of it. I did. I was sent right back to American Express. Now, I am asking you, can you help me?",Misinformation or clarification Issues
on XXXX I filed a complaint against Bank of The West.I also told them I was going to. The complaint number XXXX. As soon I did The Branch manager XXXX XXXX closed all my accounts not just the one in dispute. I had both accounts at this location for five plus years. So to punish me for standing up for my rights and forcing the bank to make the release of funds thru 4 verifications the Banker decided to punish me and closed both business accounts after banking with them for five plus years.,Misinformation or clarification Issues
"On XX/XX/2018 as l was depositing {$20.00} on my checking account l discovered a excessive fees on my checking account of {$12.00} and {$33.00}. 

I contacted Bank of America representatives to reconsider refunding those fees as l am XXXX Lifetime, Retired and a XXXX XXXX XXXX Military Veteran. 
Bank of America Representatives stated that fees will not be refunded. 
I am on a XXXX XXXX fixed income pension and l can not be paying fees.",Misinformation or clarification Issues
"They keep blocking my debit cards, all of a sudden when I try using my debit cards to pay for something they decline, and the bank does n't even send me a text or an email to make sure everything is okay, and I 'm force to use other sources of payment when I should be using my own money, when I talk to them on the phone they tell me they are protection my money, when what they are actually doing is leaving me stranded without access to my money. Have try to resolve the issue several times, but keep happening over and over again. 
( In they beginning told me it was because I was trying to use them out of state and should set an travel alert in their web site, but it happens even within my city )",Misinformation or clarification Issues
"On XXXX XXXX, I had money coming into my Bank of America checking account from my XXXX interest account. On the same day, my landlord cashed my rent check. Due to the order in which BofA processed these transactions on that day, my account was overdrawn, and I was charged a {$35.00} overdraft fee. I made two other transactions in my checking account that day, and was charged two additional {$35.00} overdraft fees. I believe this is unfair and would appreciate your help resolving the matter. I tried calling BofA myself, but the phone hold time was two hours.",Misinformation or clarification Issues
"I have used the XXXX XXXX to help me get extra cash while I have been caring for my XXXX father, as well as having XXXX XXXX issues that have made me miss work. 

PNC Bank will not let me connect my account to the XXXX app, making it impossible for me to withdraw funds that I need to stay afloat.",Misinformation or clarification Issues
Bank of America closed my checking account with no notice after 20 yrs as a valued customer. They are refusing to give me the money in my account they are telling me it could be weeks before I get a cashier 's ... my rent and Bill 's have to be paid and they are not cooperating I can't wait weeks I live on a mere {$790.00} a month. I wanted to go in and get my money and they wouldn't give it to me. Please help me or should I call an attorney I am very upset and stressed out it's making me physically ill,Misinformation or clarification Issues
"I opened an automatically renewable personal cd on XX/XX/2008 with Wachovia Bank.  When I went to cash it in earlier this year, Wells Fargo had purchased Wachovia.  Wells Fargo stated that they do not keep records for more than 7 years, and the original CD certificate is not proof that the funds were not dispersed.  They are refusing to pay me my money that I entrusted to them because of their record keeping.",Misinformation or clarification Issues
On a weekly basis BB & T banking practices put me in an overdraft.. The bank takes from available which makes it pending.. And then will also charge an overdraft fee for a pending transactions when a pending deposit is credited / pending. The bank manager is annoyed with me and wants to close my account,Misinformation or clarification Issues
"ive attached more detailed information on my concerns but I will briefly state some of them now 1. bofa has been stealing money from my account all the way back in XX/XX/2012. 
2.they took multiple house payments between the time line XXXX to XX/XX/2108 3.they reverse temp credits on false information stating that I gave them this informaton. 
4. Ive included that I demand documentations that they use to verify it is you 5 talk to u later E",Misinformation or clarification Issues
"I recently initiated an e-Check payment to my credit card company, XXXX. My bank rejected the transaction and charged me a {$38.00} NSF fee. My account balance had enough to cover the debit, though. I have attached a screenshot of my mobile banking history hereto. 

I am shopping for a new personal checking account, but I still need the {$38.00} fee they assessed to me back in the meantime.",Misinformation or clarification Issues
"Attempted to issue a cashier 's check for a home closing on XX/XX/2021, but was unable to via mobile app or web. Also attempted a wire transfer. In both cases, was unable to - only receiving the message "" we hit a snag ''. Called customer service line and was told they would investigate but no timeline was available for resolution. Called back on XX/XX/2021, to follow up - given the urgency - and was told the same and offered no alternative to execute the transaction. At this point, I'm unable to move forward and my home closing is in jeopardy.",Misinformation or clarification Issues
XX/XX/2020 I attempted to make a payment of XXXX and instead XXXX was removed instead. I called immediately and they said to call the loan department. I called said could not send me my money because I owed. I said this was an improper payment out of my habits and payed until XX/XX/XXXX this was obviously an error they refused. I contacted the bank and they said they can not get involved in this disputes since it benefits their company. I said this is illegal it was an unauthorized transaction obviously an error and refused to take a report.,Misinformation or clarification Issues
"Bank of America has debited my checking account XXXX putting it in the negitave of course. All I get is something about fraud being investigated, just two weeks prior I reported a double charge from XXXX XXXX. I'm frozen out from my account and freaked ... every penny I have is there. Thanks for any help XXXX XXXX",Misinformation or clarification Issues
"I deposited a cashiers check to simple bank, for which they put a hold on for 5 business days. The cashiers check was from XXXX XXXX made out to me. I wanted to cancel the deposit since I wasnt aware of this hold, in fact they mainly advertise checks will be cleared the next business day. At any rate, I wanted to have this deposit cancelled so I can go to my other bank and they said there is nothing they can do. I need this money for bills and a trip I am leaving for tomorrow and now can not access the funds from my cashiers check.",Misinformation or clarification Issues
I bank with Navy Federal Credit Union. My concerns are the EFAA ( Expidited funds availability act ) mandated by the Federal Reserve System. NFCU trick there members into thinking there getting direct deposit early. This is not the case. This has been an ongoing issue. They have changed policies without giving customers any knowledge. At the end of the day there practices are paying interest from customers checks every month. Its stealing and its wrong. Its more than what im explaing. I have the right to choose who I want to bank with. There purposely not giving out valueable information to keep their customer base. Please contact me for further details in this matter. It needs to be address so people wo n't lose money.,Misinformation or clarification Issues
They closed my account due to PPP Loan being deposited I was not told warned and now my money is in my account and they just closed it stating due to the loan going in to my account they closed my account.,Misinformation or clarification Issues
"Chase does not offer any form of two-step verification for its regular checking and savings accounts. This leaves my money exposed to identity theft and fraud. A simple texted code to my phone is what my other banks and accounts are doing. One gave me an actual "" token '' for my key ring with a code that changes every 60 seconds. I will be leaving Chase bank.",Misinformation or clarification Issues
"On XX/XX/2018, Judge XXXX XXXX, entered an Order setting aside the garnishment. The Court Order states that all funds held by Bank of America ( Garnishee ) must be release to defendant XXXX XXXX. The order also reflects that the garnishment is dissolved. On the very same day, i furnished a copy of the Court Order to Bank of America legal team, however BOA has not updated the account or set aside the garnishment pursuant to the Court Order. Numerals calls have beeb made to BOA and they continue to delay the process and this creates additional hardship to defendant. BOA has ignored a court Order, BOA should be sanction.",Misinformation or clarification Issues
"So I was billed {$1100.00} in 24 transactions in a matter of 2 1/2 hours of being in the air while flying XXXX XXXX on my business account I have since taken all my money out of the state and its been 3 1/2 months of fighting them for fraud and Im already proved it was all unsolicited and its taking so long to get my money back but I think now theyre fraudulent holding my money from me. 
So on XX/XX/XXXX I was in the middle of flying to XXXX XXXX with my business account thank XXXX I took all the money out of the savings account was hit by XXXX for the amount of over XXXX dollars.",Misinformation or clarification Issues
On XXXX I deposited a government check into the atm. Unfortunately I was told the check would be held for 12 days..until XX/XX/19. The explanation given was that BOA has been experiencing fraud lately. I dont have a history of returned checks on this account. I dont write checks on this account at all. Im getting the run around about the check being posted and customer service is unavailable bia telephone. This is a disgrace. I have 4 other bank accounts and this is the worst. I will be closing my account once this check clears.,Misinformation or clarification Issues
On XX/XX/18 there was a check from a CFPB XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX OR XXXX ... which when checking my account I assumed it was from my work ... .it wasnt until I went to the bank to dispute some charges coming out of my account that I was informed of this fraudulent check by XXXX at the XXXX XXXX XXXX they locked up my account without informing me of doing so ... .I got my last check from my job and was unable to cash it at the local grocery store because Regions has put a ding on my social security number ... .financially now I am struggling and I would have thought that Regions would have an obligation to notify IMMEDIATELY,Misinformation or clarification Issues
"I'm trying to use the XXXX XXXX and a XXXX XXXX to get a better control of my financials and they dont allow cross sharing my banking info, even though i logged in and provided all the encessary informatoon to release my information",Misinformation or clarification Issues
"USbank closed my account but did not delete my information. It is unlawful. I need them to delete all my account information on my online banking. 

They closed both my checking and credit card account. The checking account information has been deleted, but the information of my credit card still remains on my online banking account. It has my name, address, phone number and all important informations. 

USbank does not provide any reason to close my account. That is fine, although this is stupid because I did not violate anything. But I have the right to require them to delete all my personal information online.",Misinformation or clarification Issues
"On XX/XX/XXXX, USAA reversed a temporary deposit credit of {$60.00} from a poorly handled dispute opened on XX/XX/2018 On XX/XX/XXXX, they submitted another credit reversal for {$60.00} leaving my account {$48.00} negative. I have tried earnestly to reach someone with USAA dispute department to no avail. There were multiple representatives handling my personal information and I know this dispute has been handled poorly and unprofessionally. I would like them to return the {$60.00} they inadvertently took and close this dispute so I can leave USAA entirely. This is the second complaint I have made regarding USAA handling of my accounts and the dispute department.",Misinformation or clarification Issues
Us bank sent letter dated XX/XX/21 stating they mailed cashiers check for {$150.00} for my timely submitted fraud because they closed account. I called us bank XX/XX/21 and XXXX could not find closed account or say information. I have not received my {$150.00}.,Misinformation or clarification Issues
"Made two ACH transfers from available funds in account at Discover Bank to newly opened account at XXXX  XXXX XXXX on XX/XX/2021. Transfers were initiated with Discover and sent on XX/XX/2021 but when I called this morning to find out what time the funds were sent, I was told there was no time stamps on either of the transactions. Test credits and debits were sent by Discover Bank to XXXX  XXXX XXXX on XX/XX/2021 to verify the XXXX XXXX XXXX account. I called XXXX XXXX XXXX and was told the funds would be credited to my account by Tuesday or Wednesday and now it is Wednesday XX/XX/2021 and the funds have not been credited to my XXXX XXXX XXXX account. Stay away from Discover Bank. This is my second complaint against them in one week.",Misinformation or clarification Issues
BBVA compass bank has charged me over {$320.00} in fees over the last 90 days. They are not putting my transactions through in the correct order so that they can charge me several {$32.00} NSF fees. Although when I set up my account I told them I didn't want overdraft protection. And they still put it on my account. On XX/XX/XXXX I was charged 5 {$32.00} NSF fees and I called the bank and told them I wanted the overdraft protection removed. I have been charged 2 more {$32.00} NSF fees since then. The bank has refused to refund these charges and I'm having to pay for services that I previously requested to have removed from my account.,Misinformation or clarification Issues
"I opened a checking account with HSBC in XX/XX/XXXX being attracted to their welcome bonus. I called numerous times because the bonus was not deposited to my account yet, always got answer that I have met the criteria, bonus it's on the way. Now in XX/XX/XXXX they are telling me that I haven't used the proper link. I am CONFIDENT I have used the proper link. This is ridiculous, they have the worst customer service. Before giving me this nonsense answer they were telling me they need my application number, why would I have this, thats their internal information, I am giving them account number now. 

However, I used the proper link and this makes no sense, please get it resolved",Misinformation or clarification Issues
"My husband ( now ex-husband ) opened up a CD, IRA in my name in XXXX of 1990 at the XXXX XXXX  in XXXX NJ. It was in the amount of {$620.00} with an 8.20 % interest rate that would mature when I am XXXX years old. I am currently XXXX years old. 
I have been holding onto this paperwork since my divorce 18 years ago. I have contacted the bank PNC which bought out XXXX XXXX in the late 1990 's. They report having no records of the above CD. I have been given the run around and can not find any support. 
I have the paperwork in my possession. 
Please let me know what my options are. Thank you kindly for attending to this matter. 

Sincerely, XXXX XXXX",Misinformation or clarification Issues
"Month after month I loose connection between XXXX and my Checking account. Past 3 months I have to call in 3-4 times make complaints about it not working and a week later its suddenly working. Its horrible to not be able to use the function. I have made several calls during XX/XX/XXXX when it was not working then it was working. It failed in XX/XX/XXXX I called then TD fixed it after several calls. In XX/XX/XXXX it failed I called several times then TD fixed it. And here we are in XX/XX/2018 several calls and its still not working, ,.. This is ashamed the tech support department runs me around like crazy talking to people who have no idea. No personal attention or real technical knowledge is ever involved..",Misinformation or clarification Issues
My mother dies XX/XX/2020. BOA inheritance department dispersed all funds to siblings but mailed my money to old address. I have filled out 4 new ID affidavits and spent over {$300.00} in notary fee. All they ever say is they are going to cut new check but after 7 months they refuse to do it. Always telling me they need new ID affidavit and each time it costs me {$180.00} notary fee. The are holding my money hostage and wont allow me to donate it or receive it.,Misinformation or clarification Issues
I opened high interest online savings account in XX/XX/2020 in mid XXXX they closed it without reason or given explanation. I'm told that they will mail me a check after 60 days which means XX/XX/XXXX-XX/XX/2020 which is ridicules. This is my hard earned saving XXXX and now I don't even have access to it. Please help.,Misinformation or clarification Issues
"Suntrust closed my acct with out advising the reason why. I am joint on mY daughters account and son But they dont access to my acct. when they closed my acct, they held my daughters funds and advised her to go to a branch. Nothing was resolved then today suntrust who must be Compromised advised via text that I deposited XXXX from my actual bank to there bank. But my account is closed. I didnt do that. XXXX told me to contact suntrust and make sure my email or number is removed from suntrust XXXX. I called and they say my suntrust XXXX is suspended. I want all of my information to be removed from there system they care compromised. Someone is using my info at there bank to try to deposit money. They are not helping me. XXXX my cell",Misinformation or clarification Issues
"I opened a account up with Us Bank in XXXX, Wi at the XXXX in XX/XX/2020. With a Promo Code to receive {$300.00}. I met all requirements and there refusing to deposit the money in my account. There liars, and used this checking account offer to get people to use there bank.",Misinformation or clarification Issues
"Citizens Bank charges poor people at every chance. I opened my account on their app today to see while my account is in the black, they charged me {$30.00} Again. Yet today is Sunday XX/XX/2019 and the most recent {$30.00} charge is dated as tomorrow. They already owe me {$70.00} for forcing me into an overdraft without my permission. Now, in three days, MY Bank has stolen {$100.00} from me. I want MY {$100.00} back at once!",Misinformation or clarification Issues
"I had two prior accounts with Huntington that were charged off. I paid them both off and was advised that upon paying those accounts off I could still open a new account. I waited the waiting period after payments has posted and attempted to open the account. I was denied but they could not tell me why and advised I call customer serivce.I sat on the phone with customer service for them to tell me the accounts were paid and to go back to the branch and speak with someone else. 
I have been to the branch twice and still not resolution and still no account after being told they could also just reopen my last account. I am requesting that an asterick free checking account along with the savings account be opened per what I was told by agency management as I have done everything as requsted.",Misinformation or clarification Issues
Chase Bank Support on XXXX has been EXTREMELY unprofessional. Providing contradictory information as well as having multiple specialists provide incorrect information regarding emergency stimulus relief. Something must be done to hold this company accountable. Ill be switching banks.,Misinformation or clarification Issues
"My name is XXXX XXXX, It was sometime last year because I was XXXX at the time and a my account was locked because of fraud and I called chase and they told me to go in to a location so I went in and they told me a check was put into my account but they luckily caught it before the money was taken out and they told me where the check was deposited but I was no where near where the check was put in and I called chase as soon as I saw the account locked and they let me open another account but closed it in less than a week and now I cant open a bank account for college with any bank really because it says I was put on XXXX",Misinformation or clarification Issues
"People 's United Bank, located on XXXX XXXX XXXX XXXX, CT XXXX has abruptly closed all my business checking accounts on Friday, XX/XX/2020, without giving any notice ahead of time. I noticed unauthorized debits on my accounts that day and immediately called and emailed the bank. They did not give any chance to discuss the matter and gave no time for me to transition. The funds that were in the account, around {$20000.00} was to be mailed to me but did not give time frame.",Misinformation or clarification Issues
"I recently submitted disputes XXXX and XXXX totaling {$2900.00} and {$280.00} respectively. The disputes were comprised almost entirely of fraudulent ATM withdrawals at a branch location. Both claims me were categorically denied due to the PIN number being used. I neither affected or authorized anyone else for these transactions. The bank refused my suggestion to review ATM camera footage and the daily log from their ATM and denied the claims. Moreover, the fraudulent withdrawals all have an authorize date that predates their posting date by a few days. Also all are duplicates of earlier legitimate transactions so i was very surprised the bank refused to issue credit or investigate further. I suspect that the phony transactions are not even ATM withdrawals.",Misinformation or clarification Issues
I went into the Branch of Webster Bank on XX/XX/19. I deposited XXXX {$20.00} 's. One was not verified. It came out. Then I put it back in. It then registered. Before I could hit the complete deposit. The screen went blank and my card and portion of the {$20.00} 's put in were kicked back. I counted the money and realized XXXX {$20.00} 's were missing. There was a glitch in the ATM. A letter is being sent. Declining the return of the funds not given. Webster claims the ATM with the Glitch was accurate. I am not chasing money I am not entitled to and don't appreciate Webster 's handling of their ATM in the middle of a deposit. I'd rather my money gone into my account and this be the end of the matter. No I am chasing funds because of an ATM glitch.,Misinformation or clarification Issues
So i have cash app which is owned by square inc now i have had multiple direct deposits from my XXXX XXXX   unemploymemt i was supposed to recieve my retroactive unemployment the direct deposits are now 6 days late from when they were realeased by the XXXX ive tried to contact square and they just give me the run around i need help in recovering my funds,Misinformation or clarification Issues
XXXX stolen via fraudulent withdrawal out of state at a BMO Harris branch. BMO demanding I file police report. May not be able to. My local police ( XXXX police ) at first helpful then refusing to take report. May be out XXXX usd due to a technicality,Misinformation or clarification Issues
Yesterday morning my XXXX year old and XXXX year old sons. Decided they where gon na buy online games. In less then an hour they spent {$570.00}. Three of the 11 charges which were to XXXX were refunded without an issue. I contacted XXXX and they say they will not issue a refund for any of the charges. The other charges were from XXXX for sone game equaling {$470.00}. So I contacted my bank Santander to see if they could reverse the charges. They said I would have to press charges against my sons. How is this legal??? All charges were made on XX/XX/2020 between XXXX XXXX  and XXXX XXXX. While I was sleeping.,Misinformation or clarification Issues
I opened an account with  5/3  bank on   XXXX   XXXX   to take advantage of a {$200.00} promotion they were having. I did all of the requirements to receive the bonus but never got it. I m ade four phone calls to four repres entatives and they simply transferred me around without actually putting a note on my account to receive the bonus even though they acknowledged that I have met all of the criteria.,Misinformation or clarification Issues
XX/XX/2019 We had to downgrade our accounts at Chase from private client to plus checking. They closed our atm cards even though we have 2 fully funded accounts. Their reasoning was bank error and a glitch in the system. My husband is traveling overseas with no way to access our accounts they could not re-activate his atm even though its their fault. My new atms wont be delivered for 2 days. Chase bank in XXXX XXXX. We were not even notified. They say sorry and get money from friends overseas. They gave me no action,Misinformation or clarification Issues
1. Opened a premium checking bundle as advertised on the main landing page of first citizens bank to get the {$500.00} sign up bonus after fulfilling the following conditions Earn {$500.00} when you open a new Premier checking bundle and complete the following requirements : Maintain a combined Checking and Savings average deposit balance of {$15000.00} or more for 90 days Establish a direct deposit of at least {$4000.00} per month or make 10 debit card transactions within 90 days of account opening Open a new savings account 2. Both the above conditions have been met and multiple emails and phone calls to the bank from last 2 months have got no positive response on the bonus,Misinformation or clarification Issues
"This complaint is about the disclosures and business practices of Care Credit. I was attempting to set up an account with them to provide their services to my patients. I discontinued that application when the company began checking my personal credit and wishing to have an inspection of my office facilities. 

First, it is not appropriate to investigate my personal credit, as our company is incorporated. This implies that I am signing a personal guarantee, and if that is true, that fact was not disclosed to me. 

Second, there is no justification for a bank to inspect our property. This was not disclosed in any of the documentation as well.",Misinformation or clarification Issues
