-DOCSTART- -X- O
ch -X- _ O
was -X- _ O
not -X- _ O
me -X- _ O
But -X- _ O
still -X- _ O
has -X- _ O
not -X- _ O
responded -X- _ O
to -X- _ O
where -X- _ O
my -X- _ O
XXXX -X- _ O
dollars -X- _ O
went -X- _ O
Where -X- _ O
and -X- _ O
who -X- _ O
stole -X- _ O
my -X- _ O
money -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Zachary -X- _ B-PER
Williams -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
ONHM26360398610809 -X- _ B-ID
made -X- _ O
on -X- _ O
2021-03-10. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$61893. -X- _ B-AMOUNT
On -X- _ O
XXXX -X- _ O
XXXX -X- _ O
My -X- _ O
sister -X- _ O
asked -X- _ O
if -X- _ O
she -X- _ O
can -X- _ O
transfer -X- _ O
money -X- _ O
to -X- _ O
another -X- _ O
bank -X- _ O
account -X- _ O
through -X- _ O
my -X- _ O
account. -X- _ O
Because -X- _ O
she -X- _ O
was -X- _ O
unable -X- _ O
to -X- _ O
do -X- _ O
it -X- _ O
through -X- _ O
her -X- _ O
account. -X- _ O
We -X- _ O
sent -X- _ O
XXXX -X- _ O
US -X- _ O
dollars -X- _ O
to -X- _ O
an -X- _ O
account -X- _ O
that -X- _ O
was -X- _ O
in -X- _ O
XXXX -X- _ O
XXXX. -X- _ O
This -X- _ O
was -X- _ O
the -X- _ O
information -X- _ O
given -X- _ O
to -X- _ O
my -X- _ O
sister. -X- _ O
BANK -X- _ O
NAME -X- _ O
XXXX -X- _ O
XXXX -X- _ O
ACCOUNT -X- _ O
.NAME -X- _ O
XXXX -X- _ O
XXXX -X- _ O
ACCOUNT -X- _ O
NUMBER -X- _ O
XXXX -X- _ O
ROUTING -X- _ O
NUMBER -X- _ O
XXXX -X- _ O
BANK -X- _ O
ADDRESS -X- _ O
XXXX -X- _ O
XXXX, -X- _ O
XXXX -X- _ O
, -X- _ O
NY -X- _ O
XXXX -X- _ O
My -X- _ O
sister -X- _ O
sends -X- _ O
me -X- _ O
a -X- _ O
message -X- _ O
on -X- _ O
XXXX -X- _ O
XXXX -X- _ O
telling -X- _ O
me -X- _ O
she -X- _ O
found -X- _ O
out -X- _ O
that -X- _ O
it -X- _ O
was -X- _ O
actually -X- _ O
a -X- _ O
scam. -X- _ O
I -X- _ O
bank -X- _ O
with -X- _ O
Chase -X- _ O
Bank. -X- _ O
I -X- _ O
called -X- _ O
immediately -X- _ O
about -X- _ O
the -X- _ O
issue -X- _ O
That -X- _ O
it -X- _ O
was -X- _ O
fraud. -X- _ O
They -X- _ O
simply -X- _ O
told -X- _ O
me -X- _ O
they -X- _ O
are -X- _ O
not -X- _ O
able -X- _ O
to -X- _ O
retrieve -X- _ O
the -X- _ O
money -X- _ O
that -X- _ O
was -X- _ O
transfer. -X- _ O

I'm -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
status -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
UAEB74475388244069. -X- _ B-ID
My -X- _ O
name -X- _ O
is -X- _ O
Albert -X- _ B-PER
Hendrix -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
the -X- _ O
transaction -X- _ O
on -X- _ O
2021-01-31. -X- _ B-DATE
Paypal -X- _ O
closed -X- _ O
my -X- _ O
account -X- _ O
and -X- _ O
frozen -X- _ O
my -X- _ O
funds -X- _ O
for -X- _ O
no -X- _ O
reason -X- _ O
and -X- _ O
will -X- _ O
not -X- _ O
help -X- _ O
me -X- _ O
with -X- _ O
getting -X- _ O
it -X- _ O
back -X- _ O
up -X- _ O
and -X- _ O
going. -X- _ O
Im -X- _ O
not -X- _ O
sure -X- _ O
if -X- _ O
this -X- _ O
is -X- _ O
a -X- _ O
mistake -X- _ O
as -X- _ O
i -X- _ O
assume -X- _ O
it -X- _ O
has -X- _ O
to -X- _ O
be. -X- _ O
They -X- _ O
are -X- _ O
accusing -X- _ O
me -X- _ O
of -X- _ O
using -X- _ O
them -X- _ O
on -X- _ O
XXXX -X- _ O
to -X- _ O
sell -X- _ O
FIREarms, -X- _ O
when -X- _ O
actually -X- _ O
i -X- _ O
deal -X- _ O
with -X- _ O
XXXX -X- _ O
guns -X- _ O
and -X- _ O
XXXX -X- _ O
guns -X- _ O
only. -X- _ O
XXXX -X- _ O
woundt -X- _ O
even -X- _ O
allow -X- _ O
me -X- _ O
to -X- _ O
sell -X- _ O
firearms, -X- _ O
you -X- _ O
need -X- _ O
special -X- _ O
licenses -X- _ O
and -X- _ O
documents -X- _ O
for -X- _ O
that. -X- _ O
I -X- _ O
have -X- _ O
not -X- _ O
been -X- _ O
able -X- _ O
to -X- _ O
get -X- _ O
help -X- _ O
from -X- _ O
PayPal -X- _ O
for -X- _ O
weeks -X- _ O
but -X- _ O
i -X- _ O
remember -X- _ O
i -X- _ O
could -X- _ O
file -X- _ O
a -X- _ O
report -X- _ O
here -X- _ O
as -X- _ O
i -X- _ O
feel -X- _ O
they -X- _ O
are -X- _ O
not -X- _ O
doing -X- _ O
their -X- _ O
job -X- _ O
properly -X- _ O
and -X- _ O
its -X- _ O
affecting -X- _ O
me -X- _ O
a -X- _ O
great -X- _ O
deal -X- _ O
as -X- _ O
i -X- _ O
used -X- _ O
paypal -X- _ O
to -X- _ O
get -X- _ O
part -X- _ O
of -X- _ O
my -X- _ O
income. -X- _ O
My -X- _ O
e-mail -X- _ O
linked -X- _ O
with -X- _ O
to -X- _ O
my -X- _ O
PayPal -X- _ O
address -X- _ O
is -X- _ O
XXXX. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Justin -X- _ B-PER
Murphy -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
RKJJ65961252377057 -X- _ B-ID
made -X- _ O
on -X- _ O
2019-10-26. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$98202. -X- _ B-AMOUNT
I -X- _ O
attempted -X- _ O
to -X- _ O
pick -X- _ O
up -X- _ O
the -X- _ O
transfer -X- _ O
at -X- _ O
two -X- _ O
locations. -X- _ O
At -X- _ O
the -X- _ O
XXXX -X- _ O
on -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX, -X- _ O
MD -X- _ O
XXXX -X- _ O
I -X- _ O
was -X- _ O
told -X- _ O
the -X- _ O
transfer -X- _ O
was -X- _ O
not -X- _ O
available -X- _ O
after -X- _ O
calling -X- _ O
in -X- _ O
before -X- _ O
arriving -X- _ O
and -X- _ O
after -X- _ O
being -X- _ O
told -X- _ O
otherwise. -X- _ O
I -X- _ O
then -X- _ O
attempted -X- _ O
to -X- _ O
pick -X- _ O
up -X- _ O
the -X- _ O
transfer -X- _ O
at -X- _ O
XXXX -X- _ O
XXXX -X- _ O
on -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX, -X- _ O
XXXX, -X- _ O
MD -X- _ O
XXXX -X- _ O
and -X- _ O
was -X- _ O
told -X- _ O
the -X- _ O
same. -X- _ O
Funds -X- _ O
for -X- _ O
reference -X- _ O
number -X- _ O
XXXX -X- _ O
were -X- _ O
not -X- _ O
available -X- _ O
as -X- _ O
promised. -X- _ O

Hi -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Melissa -X- _ B-PER
Fernandez -X- _ I-PER
and -X- _ O
this -X- _ O
issues -X- _ O
is -X- _ O
concerning -X- _ O
the -X- _ O
transfer -X- _ O
of -X- _ O
$91099 -X- _ B-AMOUNT
on -X- _ O
2020-03-16. -X- _ B-DATE
The -X- _ O
transaction -X- _ O
id -X- _ O
is -X- _ O
IABI82134514813716. -X- _ B-ID
I -X- _ O
sold -X- _ O
an -X- _ O
item -X- _ O
in -X- _ O
person -X- _ O
and -X- _ O
utilized -X- _ O
PayPal -X- _ O
as -X- _ O
a -X- _ O
payment -X- _ O
method -X- _ O
in -X- _ O
the -X- _ O
amount -X- _ O
of -X- _ O
$2300.00 -X- _ O
for -X- _ O
an -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
on -X- _ O
XX/XX/2020. -X- _ O
There -X- _ O
was -X- _ O
no -X- _ O
issue -X- _ O
with -X- _ O
the -X- _ O
product -X- _ O
and -X- _ O
the -X- _ O
buyer -X- _ O
and -X- _ O
I -X- _ O
had -X- _ O
amicable -X- _ O
contact -X- _ O
post-purchase. -X- _ O
However, -X- _ O
On -X- _ O
XX/XX/2020, -X- _ O
the -X- _ O
buyer -X- _ O
reported -X- _ O
our -X- _ O
transaction -X- _ O
as -X- _ O
being -X- _ O
unauthorized, -X- _ O
over -X- _ O
a -X- _ O
month -X- _ O
after -X- _ O
purchasing -X- _ O
the -X- _ O
item -X- _ O
from -X- _ O
me. -X- _ O
PayPal -X- _ O
sided -X- _ O
with -X- _ O
the -X- _ O
buyer -X- _ O
despite -X- _ O
evidence -X- _ O
of -X- _ O
an -X- _ O
agreement -X- _ O
and -X- _ O
transaction. -X- _ O
At -X- _ O
no -X- _ O
time -X- _ O
did -X- _ O
PayPal -X- _ O
contact -X- _ O
me -X- _ O
to -X- _ O
hear -X- _ O
my -X- _ O
side -X- _ O
of -X- _ O
the -X- _ O
story. -X- _ O
I -X- _ O
currently -X- _ O
have -X- _ O
a -X- _ O
negative -X- _ O
balance -X- _ O
of -X- _ O
$2300.00 -X- _ B-AMOUNT
in -X- _ O
my -X- _ O
PayPal -X- _ O
account -X- _ O
and -X- _ O
also -X- _ O
do -X- _ O
not -X- _ O
have -X- _ O
the -X- _ O
product -X- _ O
that -X- _ O
I -X- _ O
sold. -X- _ O

I'm -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
status -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
EXZP31153565344555. -X- _ B-ID
My -X- _ O
name -X- _ O
is -X- _ O
Jodi -X- _ B-PER
Massey -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
the -X- _ O
transaction -X- _ O
on -X- _ O
2021-09-21. -X- _ B-DATE
XX/XX/2020 -X- _ O
Cash -X- _ O
app -X- _ O
linking -X- _ O
to -X- _ O
bank -X- _ O
account -X- _ O
unsuccessfully -X- _ O
because -X- _ O
the -X- _ O
bank -X- _ O
or -X- _ O
the -X- _ O
cash -X- _ O
app -X- _ O
people -X- _ O
have -X- _ O
it -X- _ O
blocked -X- _ O
i -X- _ O
have -X- _ O
XXXX -X- _ O
dollars -X- _ O
on -X- _ O
my -X- _ O
cash -X- _ O
app -X- _ O
card -X- _ O
that -X- _ O
needs -X- _ O
to -X- _ O
be -X- _ O
deposited -X- _ O
into -X- _ O
my -X- _ O
bank -X- _ O
account -X- _ O

Hi -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Mr. -X- _ O
Adam -X- _ B-PER
Larson -X- _ I-PER
and -X- _ O
this -X- _ O
issues -X- _ O
is -X- _ O
concerning -X- _ O
the -X- _ O
transfer -X- _ O
of -X- _ O
$40540 -X- _ B-AMOUNT
on -X- _ O
2020-07-27. -X- _ B-DATE
The -X- _ O
transaction -X- _ O
id -X- _ O
is -X- _ O
XBQF04102299639411. -X- _ B-ID
I -X- _ O
had -X- _ O
made -X- _ O
a -X- _ O
transfer -X- _ O
to -X- _ O
the -X- _ O
wrong -X- _ O
person -X- _ O
of -X- _ O
400 -X- _ O
on -X- _ O
or -X- _ O
about -X- _ O
XX/XX/2020. -X- _ O
I -X- _ O
contacted -X- _ O
Cash -X- _ O
App -X- _ O
within -X- _ O
2 -X- _ O
minutes -X- _ O
of -X- _ O
doing -X- _ O
it. -X- _ O
It -X- _ O
states -X- _ O
if -X- _ O
you -X- _ O
contact -X- _ O
the -X- _ O
right -X- _ O
away -X- _ O
they -X- _ O
will -X- _ O
help -X- _ O
you -X- _ O
recover -X- _ O
it. -X- _ O
When -X- _ O
I -X- _ O
sent -X- _ O
the -X- _ O
money -X- _ O
to -X- _ O
the -X- _ O
correct -X- _ O
person -X- _ O
I -X- _ O
was -X- _ O
then -X- _ O
ripped -X- _ O
off -X- _ O
for -X- _ O
XXXX -X- _ O
the -X- _ O
person -X- _ O
didn't -X- _ O
supply -X- _ O
the -X- _ O
product -X- _ O
that -X- _ O
was -X- _ O
promised. -X- _ O
I -X- _ O
then -X- _ O
contacted -X- _ O
them -X- _ O
again -X- _ O
with -X- _ O
in -X- _ O
an -X- _ O
hour -X- _ O
of -X- _ O
that -X- _ O
situation. -X- _ O
They -X- _ O
refused -X- _ O
to -X- _ O
do -X- _ O
any -X- _ O
thing -X- _ O
about -X- _ O
the -X- _ O
two -X- _ O
payments -X- _ O
of -X- _ O
XXXX -X- _ O
in -X- _ O
XXXX -X- _ O
sent. -X- _ O

Hi -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Jeffery -X- _ B-PER
Jones -X- _ I-PER
and -X- _ O
this -X- _ O
issues -X- _ O
is -X- _ O
concerning -X- _ O
the -X- _ O
transfer -X- _ O
of -X- _ O
$23992 -X- _ B-AMOUNT
on -X- _ O
2021-01-09. -X- _ B-DATE
The -X- _ O
transaction -X- _ O
id -X- _ O
is -X- _ O
NSSU44571566291191. -X- _ B-ID
On -X- _ O
XX/XX/2020 -X- _ O
an -X- _ O
individual -X- _ O
impersonating -X- _ O
another -X- _ O
individual -X- _ O
scammed -X- _ O
me -X- _ O
into -X- _ O
sending -X- _ O
an -X- _ O
ACH -X- _ O
payment -X- _ O
of -X- _ O
$150.00 -X- _ B-AMOUNT
USD -X- _ I-AMOUNT
through -X- _ O
PayPal -X- _ B-ORG
Friends -X- _ O
& -X- _ O
Family. -X- _ O
I -X- _ O
have -X- _ O
notified -X- _ O
PayPal -X- _ B-ORG
and -X- _ O
they -X- _ O
are -X- _ O
investigating, -X- _ O
but -X- _ O
doing -X- _ O
a -X- _ O
lackluster -X- _ O
job. -X- _ O
Through -X- _ O
personal -X- _ O
research, -X- _ O
I -X- _ O
know -X- _ O
this -X- _ O
individual -X- _ O
is -X- _ O
named -X- _ O
or -X- _ O
uses -X- _ O
the -X- _ O
alias -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX. -X- _ O
I -X- _ O
know -X- _ O
he -X- _ O
uses -X- _ O
the -X- _ O
email -X- _ O
addresses -X- _ O
XXXX, -X- _ O
XXXX, -X- _ O
and -X- _ O
most -X- _ O
recently -X- _ O
XXXX -X- _ O
in -X- _ O
his -X- _ O
scams. -X- _ O
S/he -X- _ O
also -X- _ O
uses -X- _ O
the -X- _ O
online -X- _ O
moniker -X- _ O
@ -X- _ O
XXXX. -X- _ O
Thank -X- _ O
you -X- _ O

Hi -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Mitchell -X- _ B-PER
Stewart -X- _ I-PER
and -X- _ O
this -X- _ O
issues -X- _ O
is -X- _ O
concerning -X- _ O
the -X- _ O
transfer -X- _ O
of -X- _ O
$82214 -X- _ B-AMOUNT
on -X- _ O
2020-09-08. -X- _ B-DATE
The -X- _ O
transaction -X- _ O
id -X- _ O
is -X- _ O
HOST41470352127886. -X- _ B-ID
On -X- _ O
XX/XX/XXXX -X- _ O
my -X- _ O
friend -X- _ O
sent -X- _ O
me -X- _ O
XXXX -X- _ O
$ -X- _ O
worth -X- _ O
of -X- _ O
bitcoins -X- _ O
on -X- _ O
my -X- _ O
coinbase -X- _ O
wallet. -X- _ O
I -X- _ O
tried -X- _ O
to -X- _ O
reset -X- _ O
my -X- _ O
password -X- _ O
on -X- _ O
coinbase -X- _ O
account -X- _ O
since -X- _ O
I -X- _ O
have -X- _ O
not -X- _ O
used -X- _ O
it -X- _ O
in -X- _ O
a -X- _ O
long -X- _ O
time, -X- _ O
when -X- _ O
I -X- _ O
did -X- _ O
It -X- _ O
logged -X- _ O
me -X- _ O
out -X- _ O
from -X- _ O
all -X- _ O
the -X- _ O
devices -X- _ O
and -X- _ O
now -X- _ O
they -X- _ O
have -X- _ O
this -X- _ O
2F -X- _ O
security -X- _ O
system -X- _ O
which -X- _ O
sends -X- _ O
you -X- _ O
the -X- _ O
code -X- _ O
on -X- _ O
your -X- _ O
phone -X- _ O
and -X- _ O
everytime -X- _ O
it -X- _ O
does -X- _ O
that -X- _ O
it -X- _ O
sends -X- _ O
me -X- _ O
the -X- _ O
wrong -X- _ O
code! -X- _ O
it -X- _ O
never -X- _ O
recognizes -X- _ O
the -X- _ O
code -X- _ O
it -X- _ O
sends -X- _ O
me -X- _ O
and -X- _ O
it -X- _ O
says -X- _ O
" -X- _ O
error -X- _ O
invalid -X- _ O
'' -X- _ O
everytime. -X- _ O
I -X- _ O
tried -X- _ O
to -X- _ O
reach -X- _ O
out -X- _ O
to -X- _ O
coinbase -X- _ O
by -X- _ O
Email, -X- _ O
live -X- _ O
chat, -X- _ O
phone -X- _ O
and -X- _ O
all -X- _ O
the -X- _ O
social -X- _ O
media -X- _ O
and -X- _ O
I -X- _ O
am -X- _ O
not -X- _ O
getting -X- _ O
any -X- _ O
response. -X- _ O
I -X- _ O
want -X- _ O
to -X- _ O
unlock -X- _ O
my -X- _ O
account -X- _ O
and -X- _ O
send -X- _ O
my -X- _ O
money -X- _ O
to -X- _ O
my -X- _ O
bank -X- _ O
account -X- _ O
and -X- _ O
be -X- _ O
done -X- _ O
with -X- _ O
COINBASE! -X- _ O
they -X- _ O
are -X- _ O
scam -X- _ O
website!!! -X- _ O
Please -X- _ O
help -X- _ O
Thanks -X- _ O
in -X- _ O
advance -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Jeff -X- _ B-PER
Norman -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
CVZC89242511562724 -X- _ B-ID
made -X- _ O
on -X- _ O
2020-03-09. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$29897. -X- _ B-AMOUNT
XX/XX/XXXX -X- _ O
at -X- _ O
XXXX -X- _ O
XXXX -X- _ O
I -X- _ O
created -X- _ O
an -X- _ O
account -X- _ O
using -X- _ O
XXXX -X- _ O
XXXX. -X- _ O
I -X- _ O
have -X- _ O
tried -X- _ O
contacting -X- _ O
support -X- _ O
via -X- _ O
email -X- _ O
and -X- _ O
via -X- _ O
phone -X- _ O
and -X- _ O
i -X- _ O
get -X- _ O
no -X- _ O
response -X- _ O
or -X- _ O
any -X- _ O
resolutions. -X- _ O
I -X- _ O
would -X- _ O
like -X- _ O
to -X- _ O
have -X- _ O
my -X- _ O
account -X- _ O
verified -X- _ O
so -X- _ O
that -X- _ O
I -X- _ O
can -X- _ O
purchase -X- _ O
bitcoin. -X- _ O
XX/XX/XXXX -X- _ O
at -X- _ O
XXXX -X- _ O
XXXX -X- _ O
Submitted -X- _ O
support -X- _ O
ticket -X- _ O
and -X- _ O
got -X- _ O
no -X- _ O
response -X- _ O
XX/XX/XXXX -X- _ O
at -X- _ O
XXXX -X- _ O
XXXX -X- _ O
Submitted -X- _ O
support -X- _ O
ticket -X- _ O
and -X- _ O
got -X- _ O
no -X- _ O
response -X- _ O
Welcome -X- _ O
back! -X- _ O
We -X- _ O
are -X- _ O
in -X- _ O
the -X- _ O
process -X- _ O
of -X- _ O
verifying -X- _ O
your -X- _ O
identity. -X- _ O
Thank -X- _ O
you -X- _ O
for -X- _ O
your -X- _ O
patience.XX/XX/XXXX -X- _ O
at -X- _ O
XXXX -X- _ O
XXXX -X- _ O
- -X- _ O
No -X- _ O
response -X- _ O
again. -X- _ O
Today -X- _ O
XX/XX/XXXX -X- _ O
Welcome -X- _ O
back! -X- _ O
We -X- _ O
are -X- _ O
in -X- _ O
the -X- _ O
process -X- _ O
of -X- _ O
verifying -X- _ O
your -X- _ O
identity. -X- _ O
Thank -X- _ O
you -X- _ O
for -X- _ O
your -X- _ O
patience.an -X- _ O
hour -X- _ O
ago -X- _ O
- -X- _ O
still -X- _ O
no -X- _ O
response -X- _ O
or -X- _ O
any -X- _ O
progress -X- _ O
in -X- _ O
verifying -X- _ O
my -X- _ O
account. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Seth -X- _ B-PER
Mcdowell -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
LWDQ10270606536622 -X- _ B-ID
made -X- _ O
on -X- _ O
2020-11-02. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$84864. -X- _ B-AMOUNT
On -X- _ O
XX/XX/XXXX, -X- _ O
I -X- _ O
had -X- _ O
back -X- _ O
unemployment -X- _ O
benefits -X- _ O
from -X- _ O
NYS -X- _ O
deposited -X- _ O
into -X- _ O
my -X- _ O
PayPal -X- _ B-ORG
account. -X- _ O
I -X- _ O
had -X- _ O
used -X- _ O
this -X- _ O
account -X- _ O
to -X- _ O
receive -X- _ O
unemployment -X- _ O
without -X- _ O
issue -X- _ O
for -X- _ O
nearly -X- _ O
2 -X- _ O
months -X- _ O
but -X- _ O
when -X- _ O
6 -X- _ O
weeks -X- _ O
of -X- _ O
back -X- _ O
pay -X- _ O
was -X- _ O
deposited -X- _ O
I -X- _ O
was -X- _ O
permanently -X- _ O
locked -X- _ O
out -X- _ O
of -X- _ O
my -X- _ O
account -X- _ O
and -X- _ O
told -X- _ O
I -X- _ O
had -X- _ O
to -X- _ O
wait -X- _ O
180 -X- _ O
days -X- _ O
before -X- _ O
they -X- _ O
decided -X- _ O
I -X- _ O
would -X- _ O
get -X- _ O
access -X- _ O
to -X- _ O
my -X- _ O
funds. -X- _ O
No -X- _ O
I -X- _ O
dont -X- _ O
have -X- _ O
access -X- _ O
to -X- _ O
my -X- _ O
unemployment -X- _ O
after -X- _ O
speaking -X- _ O
with -X- _ O
PayPal -X- _ B-ORG
on -X- _ O
XX/XX/XXXX. -X- _ O

I'm -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
status -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
FGTU94159742508037. -X- _ B-ID
My -X- _ O
name -X- _ O
is -X- _ O
Nancy -X- _ B-PER
Henderson -X- _ I-PER
MD -X- _ O
and -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
the -X- _ O
transaction -X- _ O
on -X- _ O
2021-03-29. -X- _ B-DATE
on -X- _ O
XX/XX/19 -X- _ O
I -X- _ O
had -X- _ O
sent -X- _ O
a -X- _ O
deposit -X- _ O
of -X- _ O
XXXX -X- _ O
bitcoin -X- _ O
to -X- _ O
my -X- _ O
cashapp -X- _ O
account -X- _ O
from -X- _ O
a -X- _ O
website -X- _ O
called -X- _ O
XXXX, -X- _ O
a -X- _ O
company -X- _ O
that -X- _ O
deals -X- _ O
with -X- _ O
legal -X- _ O
Bitcoin -X- _ O
Gambling. -X- _ O
The -X- _ O
transfer -X- _ O
was -X- _ O
successfully -X- _ O
sent -X- _ O
to -X- _ O
cashapp, -X- _ O
who -X- _ O
then -X- _ O
pended -X- _ O
the -X- _ O
deposit -X- _ O
for -X- _ O
review. -X- _ O
On -X- _ O
XX/XX/19 -X- _ O
I -X- _ O
contacted -X- _ O
customer -X- _ O
support -X- _ O
about -X- _ O
the -X- _ O
deposit -X- _ O
who -X- _ O
said -X- _ O
that -X- _ O
my -X- _ O
deposit -X- _ O
would -X- _ O
be -X- _ O
available -X- _ O
shortly. -X- _ O
Later -X- _ O
in -X- _ O
the -X- _ O
day, -X- _ O
I -X- _ O
found -X- _ O
out -X- _ O
my -X- _ O
account -X- _ O
had -X- _ O
been -X- _ O
cancelled -X- _ O
and -X- _ O
that -X- _ O
I -X- _ O
would -X- _ O
no -X- _ O
longer -X- _ O
be -X- _ O
able -X- _ O
to -X- _ O
use -X- _ O
cashapp -X- _ O
for -X- _ O
violating -X- _ O
their -X- _ O
terms -X- _ O
of -X- _ O
service -X- _ O
and -X- _ O
that -X- _ O
they -X- _ O
would -X- _ O
reverse -X- _ O
my -X- _ O
deposit. -X- _ O
They -X- _ O
did -X- _ O
not -X- _ O
reverse -X- _ O
the -X- _ O
deposit, -X- _ O
and -X- _ O
I -X- _ O
have -X- _ O
sent -X- _ O
countless -X- _ O
emails -X- _ O
to -X- _ O
their -X- _ O
customer -X- _ O
service -X- _ O
and -X- _ O
have -X- _ O
not -X- _ O
recieved -X- _ O
a -X- _ O
single -X- _ O
email -X- _ O
back -X- _ O
regarding -X- _ O
my -X- _ O
deposit. -X- _ O

I'm -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
status -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
RBFB65974784339637. -X- _ B-ID
My -X- _ O
name -X- _ O
is -X- _ O
Sean -X- _ B-PER
Edwards -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
the -X- _ O
transaction -X- _ O
on -X- _ O
2020-05-06. -X- _ B-DATE
Paypal -X- _ B-ORG
closed -X- _ O
my -X- _ O
account -X- _ O
for -X- _ O
no -X- _ O
reason -X- _ O
and -X- _ O
nobody -X- _ O
can -X- _ O
help -X- _ O
me -X- _ O
out, -X- _ O
there -X- _ O
are -X- _ O
never -X- _ O
any -X- _ O
representative -X- _ O
available, -X- _ O
they -X- _ O
held -X- _ O
the -X- _ O
money -X- _ O
for -X- _ O
180 -X- _ O
days -X- _ O
since -X- _ O
XX/XX/XXXX -X- _ O
and -X- _ O
it -X- _ O
over -X- _ O
already, -X- _ O
my -X- _ O
children -X- _ O
need -X- _ O
help -X- _ O
from -X- _ O
me, -X- _ O
and -X- _ O
i -X- _ O
really -X- _ O
need -X- _ O
this -X- _ O
money -X- _ O
back -X- _ O
to -X- _ O
me, -X- _ O
this -X- _ O
is -X- _ O
my -X- _ O
email -X- _ O
: -X- _ O
XXXX -X- _ O
and -X- _ O
the -X- _ O
Reference -X- _ O
ID -X- _ O
: -X- _ O
XXXX -X- _ O

I'm -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
status -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
ZXVH85179103434575. -X- _ B-ID
My -X- _ O
name -X- _ O
is -X- _ O
Jessica -X- _ B-PER
Alexander -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
the -X- _ O
transaction -X- _ O
on -X- _ O
2020-03-26. -X- _ B-DATE
Wanted -X- _ O
two -X- _ O
birth -X- _ O
certificates -X- _ O
from -X- _ O
vital -X- _ O
Chek.In -X- _ O
XXXX -X- _ O
of -X- _ O
2020 -X- _ O
paid -X- _ O
$67.00 -X- _ B-AMOUNT
and -X- _ O
never -X- _ O
received -X- _ O
the -X- _ O
documents.Since -X- _ O
the -X- _ O
documents -X- _ O
were -X- _ O
urgently -X- _ O
needed -X- _ O
I -X- _ O
ordered -X- _ O
them -X- _ O
again -X- _ O
in -X- _ O
XX/XX/2020 -X- _ O
this -X- _ O
time -X- _ O
I -X- _ O
paid -X- _ O
$ -X- _ O
XXXX -X- _ O
no -X- _ O
documents -X- _ O
and -X- _ O
no -X- _ O
refund -X- _ O
from -X- _ O
payment -X- _ O
in -X- _ O
XXXX -X- _ O
and -X- _ O
XXXX -X- _ O
vital -X- _ O
Chek -X- _ O
