input,target
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,Positive
Generous portions and great taste.,Positive
I will never go back to this place and will never ever recommended this place to anyone!,Negative
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",Negative
Food was delicious!,Positive
AN HOUR... seriously?,Negative
I consider this theft.,Negative
Eew... This location needs a complete overhaul.,Negative
We recently witnessed her poor quality of management towards other guests as well.,Negative
Waited and waited and waited.,Negative
"He also came back to check on us regularly, excellent service.",Positive
Our server was super nice and checked on us many times.,Positive
"The pizza tasted old, super chewy in not a good way.",Negative
I swung in to give them a try but was deeply disappointed.,Negative
Service was good and the company was better!,Positive
The staff are also very friendly and efficient.,Positive
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",Positive
Boy was that sucker dry!!.,Negative
Over rated.,Negative
"If you look for authentic Thai food, go else where.",Negative
Their steaks are 100% recommended!,Positive
After I pulled up my car I waited for another 15 minutes before being acknowledged.,Negative
Great food and great service in a clean and friendly setting.,Positive
"All in all, I can assure you I'll be back.",Positive
I hate those things as much as cheap quality black olives.,Negative
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",Positive
The kids play area is NASTY!,Negative
Great place fo take out or eat in.,Positive
The waitress was friendly and happy to accomodate for vegan/veggie options.,Positive
OMG I felt like I had never eaten Thai food until this dish.,Positive
"It was extremely ""crumby"" and pretty tasteless.",Negative
It was a pale color instead of nice and char and has NO flavor.,Negative
The croutons also taste homemade which is an extra plus.,Positive
I got home to see the driest damn wings ever!,Negative
It'll be a regular stop on my trips to Phoenix!,Positive
I really enjoyed Crema Caf̩ before they expanded. I even told friends they had the BEST breakfast.,Positive
Not good for the money.,Negative
I miss it and wish they had one in Philadelphia!,Positive
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",Negative
They also have the best cheese crisp in town.,Positive
"Good value, great food, great service.",Positive
Couldn't ask for a more satisfying meal.,Positive
The food is good.,Positive
It was awesome.,Positive
I just wanted to leave.,Negative
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,Positive
I will not be eating there again.,Negative
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,Negative
I checked out this place a couple years ago and was not impressed.,Negative
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",Negative
"Sorry, I will not be getting food from here anytime soon :(",Negative
An absolute must visit!,Positive
The cow tongue and cheek tacos are amazing.,Positive
My friend did not like his Bloody Mary.,Negative
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",Negative
They really want to make your experience a good one.,Positive
I will not return.,Negative
I had the chicken Pho and it tasted very bland.,Negative
Very disappointing!!!,Negative
The grilled chicken was so tender and yellow from the saffron seasoning.,Positive
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",Negative
Pretty awesome place.,Positive
Ambience is perfect.,Positive
Best of luck to the rude and non-customer service focused new management.,Negative
Any grandmother can make a roasted chicken better than this one.,Negative
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,Negative
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",Positive
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,Positive
The roast beef sandwich tasted really good!,Positive
"Same evening, him and I are both drastically sick.",Negative
High-quality chicken on the chicken Caesar salad.,Positive
Ordered burger rare came in we'll done.,Negative
We were promptly greeted and seated.,Positive
Tried to go here for lunch and it was a madhouse.,Negative
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",Positive
"After waiting an hour and being seated, I was not in the greatest of moods.",Negative
This is a good joint.,Positive
The Macarons here are insanely good.,Positive
I'm not eating here!,Negative
"Our waiter was very attentive, friendly, and informative.",Positive
Maybe if they weren't cold they would have been somewhat edible.,Negative
This place has a lot of promise but fails to deliver.,Negative
Very bad Experience!,Negative
What a mistake.,Negative
Food was average at best.,Negative
Great food.,Positive
We won't be going back anytime soon!,Negative
Very Very Disappointed ordered the $35 Big Bay Plater.,Negative
Great place to relax and have an awesome burger and beer.,Positive
It is PERFECT for a sit-down family meal or get together with a few friends.,Positive
"Not much flavor to them, and very poorly constructed.",Negative
The patio seating was very comfortable.,Positive
The fried rice was dry as well.,Negative
Hands down my favorite Italian restaurant!,Positive
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",Positive
It was just not a fun experience.,Positive
The atmosphere was great with a lovely duo of violinists playing songs we requested.,Positive
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",Positive
"Very convenient, since we were staying at the MGM!",Positive
The owners are super friendly and the staff is courteous.,Positive
Both great!,Positive
Eclectic selection.,Positive
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,Positive
The staff was very attentive.,Positive
And the chef was generous with his time (even came around twice so we can take pictures with him).,Positive
"The owner used to work at Nobu, so this place is really similar for half the price.",Positive
Google mediocre and I imagine Smashburger will pop up.,Negative
dont go here.,Negative
I promise they won't disappoint.,Positive
As a sushi lover avoid this place by all means.,Negative
What a great double cheeseburger!,Positive
Awesome service and food.,Positive
A fantastic neighborhood gem !!!,Positive
I can't wait to go back.,Positive
The plantains were the worst I've ever tasted.,Negative
It's a great place and I highly recommend it.,Positive
Service was slow and not attentive.,Negative
"I gave it 5 stars then, and I'm giving it 5 stars now.",Positive
Your staff spends more time talking to themselves than me.,Negative
Dessert: Panna Cotta was amazing.,Positive
"Very good food, great atmosphere.1",Positive
Damn good steak.,Positive
Total brunch fail.,Negative
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",Positive
"The decor is nice, and the piano music soundtrack is pleasant.",Positive
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,Positive
"Good food , good service .",Positive
It was absolutely amazing.,Positive
"I probably won't be back, to be honest.",Negative
will definitely be back!,Positive
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,Positive
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",Positive
Went for lunch - service was slow.,Negative
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",Negative
I was mortified.,Negative
"Needless to say, we will never be back here again.",Negative
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",Negative
"The chips that came out were dripping with grease, and mostly not edible.",Negative
I wasn't really impressed with Strip Steak.,Negative
Have been going since 2007 and every meal has been awesome!!,Positive
Our server was very nice and attentive as were the other serving staff.,Positive
The cashier was friendly and even brought the food out to me.,Positive
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,Negative
The atmosphere here is fun.,Positive
Would not recommend to others.,Negative
"Service is quick and even ""to go"" orders are just like we like it!",Positive
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",Negative
"That said, our mouths and bellies were still quite pleased.",Positive
Not my thing.,Negative
2 Thumbs Up!!,Positive
If you are reading this please don't go there.,Negative
"I loved the grilled pizza, reminded me of legit Italian pizza.",Positive
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,Positive
They have a really nice atmosphere.,Positive
Tonight I had the Elk Filet special...and it sucked.,Negative
"After one bite, I was hooked.",Positive
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,Negative
"Cute, quaint, simple, honest.",Positive
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,Positive
"The food was great as always, compliments to the chef.",Positive
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,Positive
Awesome selection of beer.,Positive
Great food and awesome service!,Positive
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",Positive
A FLY was in my apple juice.. A FLY!!!!!!!!,Negative
The Han Nan Chicken was also very tasty.,Positive
"As for the service, I thought it was good.",Positive
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",Negative
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,Negative
Nicest Chinese restaurant I've been in a while.,Positive
"Overall, I like there food and the service.",Positive
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,Positive
"Probably never coming back, and wouldn't recommend it.",Negative
"Friend's pasta -- also bad, he barely touched it.",Negative
"Try them in the airport to experience some tasty food and speedy, friendly service.",Positive
I love the decor with the Chinese calligraphy wall paper.,Positive
Never had anything to complain about here.,Positive
The restaurant is very clean and has a family restaurant feel to it.,Positive
It was way over fried.,Negative
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,Negative
"When I opened the sandwich, I was impressed, but not in a good way.",Negative
Will not be back!,Negative
There was a warm feeling with the service and I felt like their guest for a special treat.,Positive
An extensive menu provides lots of options for breakfast.,Positive
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",Positive
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",Negative
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,Positive
"I got to enjoy the seafood salad, with a fabulous vinegrette.",Positive
"The wontons were thin, not thick and chewy, almost melt in your mouth.",Positive
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",Positive
We were sat right on time and our server from the get go was FANTASTIC!,Positive
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",Negative
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",Positive
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,Negative
This is a GREAT place to eat!,Positive
The jalapeno bacon is soooo good.,Positive
The service was poor and thats being nice.,Negative
"Food was good, service was good, Prices were good.",Positive
The place was not clean and the food oh so stale!,Negative
"The chicken dishes are OK, the beef is like shoe leather.",Negative
But the service was beyond bad.,Negative
"I'm so happy to be here!!!""",Positive
Tasted like dirt.,Negative
One of the few places in Phoenix that I would definately go back to again .,Positive
The block was amazing.,Positive
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",Positive
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,Positive
My sashimi was poor quality being soggy and tasteless.,Negative
Great time - family dinner on a Sunday night.,Positive
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",Negative
"What did bother me, was the slow service.",Negative
The flair bartenders are absolutely amazing!,Positive
Their frozen margaritas are WAY too sugary for my taste.,Negative
These were so good we ordered them twice.,Positive
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,Negative
My girlfriend's veal was very bad.,Negative
"Unfortunately, it was not good.",Negative
I had a pretty satifying experience.,Positive
Join the club and get awesome offers via email.,Positive
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",Positive
Bland and flavorless is a good way of describing the barely tepid meat.,Negative
"The chains, which I'm no fan of, beat this place easily.",Negative
The nachos are a MUST HAVE!,Positive
We will not be coming back.,Negative
"I don't have very many words to say about this place, but it does everything pretty well.",Positive
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",Positive
"Great atmosphere, friendly and fast service.",Positive
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,Positive
Once your food arrives it's meh.,Negative
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,Negative
The classic Maine Lobster Roll was fantastic.,Positive
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",Negative
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,Positive
"The chips and salsa were really good, the salsa was very fresh.",Positive
This place is great!!!!!!!!!!!!!!,Positive
